,ids1,ids2,images1,images2,result,tiers,votes1,votes2
57,2136,1832,https://img.animebracket.com/1nc.jpg,https://img.animebracket.com/1ew.jpg,0,1,1139,1213
58,1819,2062,https://img.animebracket.com/1ej.jpg,https://img.animebracket.com/1la.jpg,1,1,2177,486
59,2249,2020,https://img.animebracket.com/1qh.jpg,https://img.animebracket.com/1k4.jpg,1,1,1566,986
60,1932,2295,https://img.animebracket.com/1ho.jpg,https://img.animebracket.com/1rr.jpg,1,1,2435,429
61,2173,2189,https://img.animebracket.com/1od.jpg,https://img.animebracket.com/1ot.jpg,1,1,1594,845
62,1895,1836,https://img.animebracket.com/1gn.jpg,https://img.animebracket.com/1f0.jpg,1,1,2257,496
63,2073,2427,https://img.animebracket.com/1ll.jpg,https://img.animebracket.com/1vf.jpg,0,1,1215,1260
64,1813,2166,https://img.animebracket.com/1ed.jpg,https://img.animebracket.com/1o6.jpg,1,1,2887,440
65,2063,1855,https://img.animebracket.com/1lb.jpg,https://img.animebracket.com/1fj.jpg,1,1,1293,1284
66,1871,2070,https://img.animebracket.com/1fz.jpg,https://img.animebracket.com/1li.jpg,1,1,1474,1292
67,2100,2445,https://img.animebracket.com/1mc.jpg,https://img.animebracket.com/1vx.jpg,1,1,1846,822
68,1789,2095,https://img.animebracket.com/1dp.jpg,https://img.animebracket.com/1m7.jpg,1,1,2608,530
69,1962,2410,https://img.animebracket.com/1ii.jpg,https://img.animebracket.com/1uy.jpg,1,1,1443,1149
70,1995,1790,https://img.animebracket.com/1jf.jpg,https://img.animebracket.com/1dq.jpg,1,1,2253,658
71,2447,2436,https://img.animebracket.com/1vz.jpg,https://img.animebracket.com/1vo.jpg,1,1,1430,1225
72,1892,2221,https://img.animebracket.com/1gk.jpg,https://img.animebracket.com/1pp.jpg,1,1,2533,423
73,1967,1788,https://img.animebracket.com/1in.jpg,https://img.animebracket.com/1do.jpg,1,1,1583,1117
74,1942,1994,https://img.animebracket.com/1hy.jpg,https://img.animebracket.com/1je.jpg,1,1,1858,719
75,1873,2244,https://img.animebracket.com/1g1.jpg,https://img.animebracket.com/1qc.jpg,1,1,1734,964
76,1781,2182,https://img.animebracket.com/1dh.jpg,https://img.animebracket.com/1om.jpg,1,1,2324,490
77,1955,2158,https://img.animebracket.com/1ib.jpg,https://img.animebracket.com/1ny.jpg,1,1,1469,1149
78,2324,2099,https://img.animebracket.com/1sk.jpg,https://img.animebracket.com/1mb.jpg,1,1,1897,909
79,2421,2257,https://img.animebracket.com/1v9.jpg,https://img.animebracket.com/1qp.jpg,1,1,1691,1136
80,1830,2327,https://img.animebracket.com/1eu.jpg,https://img.animebracket.com/1sn.jpg,1,1,2806,416
81,2011,1951,https://img.animebracket.com/1jv.jpg,https://img.animebracket.com/1i7.jpg,1,1,1348,1005
82,2226,2283,https://img.animebracket.com/1pu.jpg,https://img.animebracket.com/1rf.jpg,1,1,1823,683
83,1911,1844,https://img.animebracket.com/1h3.jpg,https://img.animebracket.com/1f8.jpg,1,1,1817,826
84,1934,2029,https://img.animebracket.com/1hq.jpg,https://img.animebracket.com/1kd.jpg,1,1,2657,495
85,1874,2374,https://img.animebracket.com/1g2.jpg,https://img.animebracket.com/1ty.jpg,1,1,1303,1224
86,1884,2347,https://img.animebracket.com/1gc.jpg,https://img.animebracket.com/1t7.jpg,1,1,2103,590
87,2277,2044,https://img.animebracket.com/1r9.jpg,https://img.animebracket.com/1ks.jpg,1,1,1557,972
88,1768,2332,https://img.animebracket.com/1d4.jpg,https://img.animebracket.com/1ss.jpg,1,1,2470,478
89,2001,2453,https://img.animebracket.com/1jl.jpg,https://img.animebracket.com/1w5.jpg,0,1,1116,1220
90,1896,2351,https://img.animebracket.com/1go.jpg,https://img.animebracket.com/1tb.jpg,1,1,2032,741
91,1794,1945,https://img.animebracket.com/1du.jpg,https://img.animebracket.com/1i1.jpg,1,1,1939,675
92,2019,1796,https://img.animebracket.com/1k3.jpg,https://img.animebracket.com/1dw.jpg,1,1,1857,809
93,1909,2388,https://img.animebracket.com/1h1.jpg,https://img.animebracket.com/1uc.jpg,1,1,1861,929
94,1827,1999,https://img.animebracket.com/1er.jpg,https://img.animebracket.com/1jj.jpg,1,1,2037,618
95,2345,2448,https://img.animebracket.com/1t5.jpg,https://img.animebracket.com/1w0.jpg,1,1,1766,780
96,1815,2164,https://img.animebracket.com/1ef.jpg,https://img.animebracket.com/1o4.jpg,1,1,2950,438
97,2377,2364,https://img.animebracket.com/1u1.jpg,https://img.animebracket.com/1to.jpg,1,1,1420,1328
98,2199,2288,https://img.animebracket.com/1p3.jpg,https://img.animebracket.com/1rk.jpg,1,1,1817,1093
99,1946,1948,https://img.animebracket.com/1i2.jpg,https://img.animebracket.com/1i4.jpg,1,1,2183,720
100,1890,2407,https://img.animebracket.com/1gi.jpg,https://img.animebracket.com/1uv.jpg,1,1,2551,554
